customerID,Segment,ChurnProb,CLV,InterventionScore,RFM_Score,Contract,tenure,MonthlyCharges
8016-NCFVO,Champions,16.74,165.58,100.0,14,Month-to-month,55,116.5
2067-QYTCF,Champions,11.43,240.8,99.3,15,Month-to-month,64,111.15
2522-AHJXR,Champions,9.99,272.98,98.41,14,Month-to-month,60,109.45
9052-VKDUW,Champions,6.02,450.2,97.74,15,Month-to-month,65,109.4
3657-COGMW,Champions,11.05,242.76,96.77,14,Month-to-month,52,108.1
6067-NGCEU,Champions,4.38,610.53,96.56,15,Month-to-month,65,111.05
3761-FLYZI,Champions,13.05,204.37,96.24,15,Month-to-month,65,108.8
3331-HQDTW,Champions,14.73,180.45,95.9,13,Month-to-month,34,109.8
9481-IEBZY,Champions,3.57,741.72,95.53,15,Month-to-month,72,112.9
0363-QJVFX,Champions,13.47,196.28,95.38,13,Month-to-month,32,108.15
9971-ZWPBF,Champions,14.71,179.26,95.13,13,Month-to-month,34,108.9
2133-TSRRM,Champions,8.09,325.55,95.0,13,Month-to-month,34,105.35
9710-ZUSHQ,Champions,12.58,208.65,94.72,13,Month-to-month,37,106.75
5339-TJFEK,Champions,10.42,251.87,94.7,15,Month-to-month,62,105.5
7576-JMYWV,Champions,16.97,154.18,94.39,14,Month-to-month,46,110.2
2144-BFDSO,Champions,15.65,167.0,94.26,14,Month-to-month,50,108.75
7821-DPRQE,Champions,15.65,165.37,93.35,15,Month-to-month,68,107.7
4191-XOVOM,Champions,13.76,186.9,92.76,15,Month-to-month,63,105.4
3170-GWYKC,Champions,13.96,183.18,92.22,14,Month-to-month,60,104.95
7426-GSWPO,Champions,5.67,450.6,92.12,15,Month-to-month,64,103.5
8800-ZKRFW,Champions,18.31,137.63,90.9,13,Month-to-month,30,107.5
1421-HCERK,Champions,16.75,150.12,90.72,13,Month-to-month,30,105.7
9408-HRXRK,Champions,16.62,150.69,90.35,14,Month-to-month,45,105.15
3174-RKMOW,Champions,21.13,118.46,90.29,13,Month-to-month,35,109.95
0177-PXBAT,Champions,21.93,113.11,89.46,13,Month-to-month,33,109.9
3413-DHLPB,Champions,16.65,148.42,89.13,14,Month-to-month,60,103.75
1548-FEHVL,Champions,19.36,127.2,88.85,15,Month-to-month,61,106.2
9079-LWTFD,Champions,4.32,561.43,87.45,14,Month-to-month,47,100.75
7537-CBQUZ,Champions,2.6,931.34,87.32,15,Month-to-month,63,109.4
8065-BVEPF,Champions,13.94,173.19,87.09,14,Month-to-month,65,99.1
8547-NSBBO,Champions,11.32,211.84,86.48,13,Month-to-month,35,96.75
1656-DRSMG,Champions,24.88,96.29,86.41,15,Month-to-month,63,109.85
8421-WZOOW,Champions,8.8,270.69,85.92,13,Month-to-month,57,95.3
0487-RPVUM,Champions,4.13,575.53,85.82,15,Month-to-month,61,99.4
0899-WZRSD,Champions,22.24,106.52,85.45,14,Month-to-month,56,105.35
0129-KPTWJ,Champions,9.3,254.05,85.26,14,Month-to-month,72,94.65
7130-YXBRO,Champions,27.38,86.06,85.0,14,Month-to-month,48,111.45
2040-VZIKE,Champions,18.87,124.61,84.8,13,Month-to-month,49,100.85
2615-YVMYX,Champions,24.89,94.16,84.55,15,Month-to-month,71,107.5
9137-UIYPG,Champions,24.52,95.47,84.45,13,Month-to-month,35,106.9
9659-QEQSY,At-Risk Stars,30.8,75.89,84.32,14,Month-to-month,45,115.65
7789-CRUVC,Champions,6.22,375.82,84.3,14,Month-to-month,61,94.2
3086-RUCRN,Champions,21.77,107.08,84.07,15,Month-to-month,66,103.1
6300-BWMJX,Champions,9.7,240.15,84.01,13,Month-to-month,59,93.35
4250-WAROZ,Champions,9.33,249.52,84.0,12,Month-to-month,60,93.25
2674-MLXMN,Champions,18.65,124.82,83.97,14,Month-to-month,71,99.65
2270-CHBFN,Champions,13.37,173.95,83.92,14,Month-to-month,44,95.1
0114-PEGZZ,Champions,25.59,90.86,83.87,13,Month-to-month,33,107.55
1346-PJWTK,Champions,5.52,420.21,83.63,13,Month-to-month,61,94.15
6710-HSJRD,At-Risk Stars,30.54,75.79,83.49,15,Month-to-month,61,114.1
1110-KYLGQ,Champions,2.23,1037.43,83.35,15,Month-to-month,63,108.25
1550-EENBN,Champions,23.8,96.84,83.14,13,Month-to-month,31,104.35
2018-PZKMU,Champions,22.86,100.68,83.04,11,Month-to-month,9,103.1
9544-PYPSJ,Champions,17.12,133.13,82.19,14,Month-to-month,62,96.1
3144-KMTWZ,Champions,4.71,480.55,81.71,13,Month-to-month,71,93.25
1020-JPQOW,Champions,8.11,279.17,81.65,12,Month-to-month,56,90.55
1482-OXZSY,Champions,22.18,101.86,81.49,12,Month-to-month,30,100.4
6168-YBYNP,At-Risk Stars,30.6,73.75,81.41,14,Month-to-month,59,111.35
4918-FYJNT,Champions,7.04,320.47,81.36,12,Month-to-month,55,90.45
4472-VESGY,Champions,20.39,110.45,81.24,14,Month-to-month,52,98.15
2931-SVLTV,Champions,29.97,75.1,81.18,13,Month-to-month,40,110.1
4402-FTBXC,Champions,8.35,268.72,80.98,12,Month-to-month,54,89.8
9469-WEJBT,Champions,10.79,207.99,80.97,10,Month-to-month,37,90.35
4462-CYWMH,Champions,7.53,297.82,80.91,13,Month-to-month,62,89.8
1935-IMVBB,Champions,7.59,295.38,80.83,11,Month-to-month,56,89.7
6794-HKIAJ,Champions,5.48,407.06,80.53,13,Month-to-month,62,90.7
8782-LKFPK,Champions,12.14,183.66,80.43,11,Month-to-month,44,90.4
4010-YLMVT,Champions,28.3,78.71,80.35,14,Month-to-month,56,106.6
0058-EVZWM,Champions,11.46,193.95,80.21,12,Month-to-month,55,89.8
5334-JLAXU,Champions,17.49,127.15,80.2,12,Month-to-month,60,94.1
2207-QPJED,Champions,11.93,186.3,80.17,11,Month-to-month,37,90.0
8552-OBVRU,Champions,26.93,82.51,80.15,14,Month-to-month,48,104.5
9079-YEXQJ,At-Risk Stars,31.68,70.05,80.04,14,Month-to-month,54,111.1
1320-REHCS,At-Risk Stars,31.48,70.45,80.0,14,Month-to-month,52,110.75
0924-BJCRC,Champions,11.45,193.52,79.9,12,Month-to-month,60,89.45
8755-IWJHN,Champions,19.26,114.96,79.86,14,Month-to-month,69,95.35
0929-PECLO,Champions,12.3,179.54,79.64,13,Month-to-month,63,89.6
4194-WHFCB,Champions,21.22,103.61,79.29,13,Month-to-month,59,96.65
5240-CAOYT,Champions,7.33,298.06,78.83,12,Month-to-month,57,87.55
4188-FRABG,Champions,27.15,80.46,78.81,14,Month-to-month,57,103.05
5828-DWPIL,Champions,13.13,166.33,78.76,13,Month-to-month,62,89.1
3316-UWXUY,Champions,18.93,115.03,78.56,12,Month-to-month,50,93.5
9822-WMWVG,At-Risk Stars,30.1,72.18,78.38,14,Month-to-month,41,106.5
1035-IPQPU,Champions,28.02,77.45,78.29,15,Month-to-month,63,103.5
3717-LNXKW,Champions,17.42,124.42,78.2,11,Month-to-month,38,91.7
0595-ITUDF,Champions,17.85,121.13,77.97,13,Month-to-month,64,91.8
7048-GXDAY,At-Risk Stars,30.53,70.7,77.86,13,Month-to-month,39,106.4
7251-XFOIL,Champions,14.85,145.28,77.82,13,Month-to-month,61,89.2
8495-LJDFO,Champions,1.68,1279.25,77.47,15,Month-to-month,64,108.95
1215-FIGMP,Champions,16.53,129.62,77.3,11,Month-to-month,60,89.9
6891-JPYFF,At-Risk Stars,30.36,70.48,77.19,14,Month-to-month,48,105.25
1013-QCWAM,Champions,27.19,78.58,77.06,14,Month-to-month,66,100.8
1169-WCVAK,Champions,15.56,137.18,77.01,10,Month-to-month,19,88.8
9732-EQMWY,Champions,26.33,80.86,76.81,13,Month-to-month,49,99.4
0943-ZQPXH,Champions,20.64,103.05,76.72,12,Month-to-month,44,92.95
2378-HTWFW,Champions,18.95,111.83,76.45,11,Month-to-month,35,91.0
5131-PONJI,Champions,18.41,115.01,76.36,12,Month-to-month,49,90.4
5827-MWCZK,Champions,24.8,85.33,76.33,13,Month-to-month,56,96.95
6030-REHUX,At-Risk Stars,34.92,60.52,76.24,13,Month-to-month,28,110.85
0292-WEGCH,Champions,5.19,407.11,76.2,13,Month-to-month,54,86.2
